Country or region,Score_15,Score_16,Score_17,Score_18,Score_19,Overall rank_15,Overall rank_16,Overall rank_17,Overall rank_18,Overall rank_19
Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833,7.487,7.48,1.0,2.0,4.0,5.0,6.0
Iceland,7.561,7.501,7.50400018692017,7.495,7.494,2.0,3.0,3.0,4.0,4.0
Denmark,7.527,7.526,7.52199983596802,7.555,7.6,3.0,1.0,2.0,3.0,2.0
Norway,7.522,7.497999999999998,7.537000179290769,7.5939999999999985,7.5539999999999985,4.0,4.0,1.0,2.0,3.0
Canada,7.427,7.404,7.31599998474121,7.3279999999999985,7.278,5.0,6.0,7.0,7.0,9.0
Finland,7.4060000000000015,7.4129999999999985,7.468999862670901,7.6320000000000014,7.769,6.0,5.0,5.0,1.0,1.0
Netherlands,7.377999999999999,7.338999999999999,7.3769998550415,7.441,7.487999999999999,7.0,7.0,6.0,6.0,5.0
Sweden,7.364,7.291,7.28399991989136,7.314,7.343,8.0,10.0,9.0,9.0,7.0
New Zealand,7.286,7.334,7.31400012969971,7.324,7.307,9.0,8.0,8.0,8.0,8.0
Australia,7.284,7.313,7.28399991989136,7.272,7.228,10.0,9.0,10.0,10.0,11.0
Israel,7.278,7.267,7.212999820709231,6.814,7.1389999999999985,11.0,11.0,11.0,19.0,13.0
Costa Rica,7.226,7.0870000000000015,7.0789999961853,7.072,7.167000000000002,12.0,14.0,12.0,13.0,12.0
Austria,7.2,7.119,7.00600004196167,7.1389999999999985,7.246,13.0,12.0,13.0,12.0,10.0
Mexico,7.187,6.778,6.57800006866455,6.488,6.595,14.0,21.0,25.0,24.0,23.0
United States,7.119,7.104,6.993000030517581,6.886,6.892,15.0,13.0,14.0,18.0,19.0
Brazil,6.983,6.952000000000001,6.63500022888184,6.419,6.3,16.0,17.0,22.0,28.0,32.0
Luxembourg,6.9460000000000015,6.871,6.86299991607666,6.91,7.09,17.0,20.0,18.0,17.0,14.0
Ireland,6.94,6.907,6.977000236511231,6.977,7.021,18.0,19.0,15.0,14.0,16.0
Belgium,6.937,6.9289999999999985,6.89099979400635,6.9270000000000005,6.922999999999999,19.0,18.0,17.0,16.0,18.0
